C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs
8,8,8,128,32,2,CM,256
8,8,16,256,32,2,CM,512
8,8,32,512,32,2,CM,1024
8,16,2,64,32,2,CM,64
8,16,4,128,32,2,CM,128
8,16,8,256,32,2,CM,256
8,16,16,512,32,2,CM,512
8,16,32,1024,32,2,CM,1024
8,32,2,128,32,2,CM,64
8,32,4,256,32,2,CM,128
8,32,8,512,32,2,CM,256
8,32,16,1024,32,2,CM,512
8,32,32,2048,32,2,CM,1024
16,2,2,16,64,2,CM,64
16,2,4,32,64,2,CM,128
16,2,8,64,64,2,CM,256
16,2,16,128,64,2,CM,512
16,2,32,256,64,2,CM,1024
16,4,2,32,64,2,CM,128
16,4,4,64,64,2,CM,256
16,4,8,128,64,2,CM,512
16,4,16,256,64,2,CM,1024
16,4,32,512,64,2,CM,2048
16,8,2,64,64,2,CM,128
16,8,4,128,64,2,CM,256
16,8,8,256,64,2,CM,512
16,8,16,512,64,2,CM,1024
16,8,32,1024,64,2,CM,2048
16,16,2,128,64,2,CM,128
16,16,4,256,64,2,CM,256
16,16,8,512,64,2,CM,512
16,16,16,1024,64,2,CM,1024
16,16,32,2048,64,2,CM,2048
16,32,2,256,64,2,CM,128
16,32,4,512,64,2,CM,256
16,32,8,1024,64,2,CM,512
16,32,16,2048,64,2,CM,1024
16,32,32,4096,64,2,CM,2048
