APP name,Cores,Warps,Threads,instrs,cycles,ipc,core_usage_rate,thread occupancy,alu_ratio,fpu_ratio,lsu_ratio,sfu_ratio,issue_stalls,stall_alu_ratio,stall_fpu_ratio,stall_lsu_ratio,stall_sfu_ratio,alu_instrs,fpu_instrs,sfu_instrs,lsu_instrs,loads,stores,split_instrs,avg_cycles,L2,Mapping,FLOP/BYTE
psort,8,8,2,4032050233,1156611058,3.49,100%,87%,57%,10%,7%,27%,142262173,3%,8%,88%,0%,2285355271,402661376,1075462813,268571069,134281289,46908,402670168,1155968164,0,CM,0.0469
psort,8,8,4,4029942068,621908150,6.48,100%,81%,57%,10%,7%,27%,56618586,4%,8%,87%,0%,2283898985,402661376,1074717239,268664764,67194185,68667,402678744,621752408,0,CM,0.0936
psort,8,8,8,3365571668,319545949,10.53,100%,79%,68%,12%,4%,16%,22324588,6%,11%,82%,0%,2283322311,402661376,545157615,134430662,67262802,112188,203280448,318993221,0,CM,0.0935
psort,8,8,16,3031415396,176697537,17.16,100%,76%,75%,13%,2%,9%,360297982,36%,27%,35%,0%,2283450075,402661376,278015211,67289030,67375442,199228,102966071,176480839,0,CM,0.0934
psort,8,8,32,2859520869,180291176,15.86,100%,76%,80%,14%,1%,5%,262014058,30%,20%,48%,0%,2283478571,402661376,139663003,33718215,67600722,373309,51676751,180220033,0,CM,0.0931
psort,8,16,2,4028418494,1153891106,3.49,100%,87%,57%,10%,7%,27%,9845675,5%,7%,87%,0%,2282883167,402661376,1074209409,268664838,134328146,68732,402678936,1153465567,0,CM,0.0468
psort,8,16,4,4028466523,620814970,6.49,100%,81%,57%,10%,7%,27%,2906212,11%,8%,79%,0%,2282813485,402661376,1074139728,268852230,67262802,112252,402696088,620449762,0,CM,0.0935
psort,8,16,8,3365798456,319650649,10.53,100%,79%,68%,12%,4%,16%,21167167,3%,5%,91%,0%,2283455839,402661376,545112572,134568965,67375442,199291,203289600,319204889,0,CM,0.0934
psort,8,16,16,3032289935,183002125,16.57,100%,76%,75%,13%,2%,9%,222025561,31%,18%,50%,0%,2284123639,402661376,278077870,67427346,67600731,373375,102975223,182488988,0,CM,0.0931
psort,8,16,32,2861111565,188384720,15.19,100%,76%,80%,14%,1%,5%,206226078,16%,9%,74%,0%,2284845979,402661376,139747988,33856518,68051282,721532,51685903,188296531,0,CM,0.0925
psort,8,32,2,4028275084,1153103474,3.49,100%,87%,57%,10%,7%,27%,1114132,6%,2%,90%,0%,2282685673,402661376,1074075982,268852349,134421833,112380,402696472,1152953217,0,CM,0.0468
psort,8,32,4,4029578883,621504850,6.48,100%,81%,57%,10%,7%,27%,13116295,2%,2%,95%,0%,2283411527,402661376,1074377427,269128849,67375451,199422,402714392,621125834,0,CM,0.0934
psort,8,32,8,3367298960,321211697,10.48,100%,79%,68%,12%,4%,16%,47917033,0%,3%,95%,0%,2284420847,402661376,545371459,134845574,67600722,373500,203307904,320512355,0,CM,0.0931
psort,8,32,16,3033968123,197438145,15.37,100%,76%,75%,13%,2%,9%,190571886,13%,12%,74%,0%,2285423509,402661376,278179592,67703942,68051282,721660,102993527,196721057,0,CM,0.0925
psort,8,32,32,2864652460,212114233,13.51,100%,75%,80%,14%,1%,5%,272257583,4%,3%,91%,0%,2287820463,402661376,140037778,34133139,68952411,1417984,51704207,212066869,0,CM,0.0912
psort,16,2,2,4030583453,1013101524,3.98,100%,87%,57%,10%,7%,27%,5674594077,43%,32%,23%,0%,2284411391,402661376,1075000545,268510733,134246921,39572,402663760,1009508823,0,CM,0.0469
