C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth
16,4,2,32,64,0,CM,128,1.0,0.9966836734693878,0.9966836734693878,80.0
16,8,2,64,64,0,CM,128,1.0,0.9966836734693878,0.9966836734693878,80.0
16,8,4,128,64,0,CM,256,1.0,0.9966836734693878,0.9966836734693878,80.0
16,16,2,128,64,0,CM,128,1.0,0.9966836734693878,0.9966836734693878,80.0
16,16,4,256,64,0,CM,256,1.0,0.9966836734693878,0.9966836734693878,80.0
16,32,2,256,64,0,CM,128,1.0,0.9966836734693878,0.9966836734693878,80.0
16,32,4,512,64,0,CM,256,1.0,0.9966836734693878,0.9966836734693878,80.0
16,32,4,512,64,1,CM,256,1.0,0.9966836734693878,0.9966836734693878,80.0
16,32,2,256,64,1,CM,128,1.0,0.9966836734693878,0.9966836734693878,80.0
16,16,4,256,64,1,CM,256,1.0,0.9966836734693878,0.9966836734693878,80.0
16,16,2,128,64,1,CM,128,1.0,0.9966836734693878,0.9966836734693878,80.0
16,8,4,128,64,1,CM,256,1.0,0.9966836734693878,0.9966836734693878,80.0
16,8,2,64,64,1,CM,128,1.0,0.9966836734693878,0.9966836734693878,80.0
2,2,4,4,16,0,TM,16,0.9997441146366428,0.996938775510204,0.9966836734693878,40.0
16,4,4,64,64,1,CM,256,1.0,0.9966836734693878,0.9966836734693878,80.0
16,4,2,32,64,1,CM,128,1.0,0.9966836734693878,0.9966836734693878,80.0
16,4,4,64,64,0,CM,256,1.0,0.9966836734693878,0.9966836734693878,80.0
16,32,4,512,64,2,CM,256,1.0,0.9966836734693878,0.9966836734693878,80.0
2,2,4,4,16,1,TM,16,0.9997441146366428,0.996938775510204,0.9966836734693878,40.0
2,2,4,4,16,2,TM,16,0.9997441146366428,0.996938775510204,0.9966836734693878,40.0
2,4,2,4,16,1,TM,16,0.9997441146366428,0.996938775510204,0.9966836734693878,80.0
2,4,2,4,16,0,TM,16,0.9997441146366428,0.996938775510204,0.9966836734693878,80.0
4,2,2,4,16,2,TM,16,0.9997441146366428,0.996938775510204,0.9966836734693878,40.0
4,2,2,4,16,1,TM,16,0.9997441146366428,0.996938775510204,0.9966836734693878,40.0
4,2,2,4,16,0,TM,16,0.9997441146366428,0.996938775510204,0.9966836734693878,40.0
2,4,2,4,16,2,TM,16,0.9997441146366428,0.996938775510204,0.9966836734693878,80.0
2,2,8,8,16,0,TM,32,0.9997441146366428,0.9939024390243902,0.9936481139376389,40.0
2,2,8,8,16,1,TM,32,0.9997441146366428,0.9939024390243902,0.9936481139376389,40.0
2,2,8,8,16,2,TM,32,0.9997441146366428,0.9939024390243902,0.9936481139376389,40.0
8,2,2,8,32,2,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,40.0
4,4,2,8,16,2,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,80.0
4,2,4,8,16,2,TM,32,0.9997441146366428,0.9928861788617886,0.9926321138211383,40.0
